Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,381699,Cheeks Beauty Academy,02211901,1,BRANCH CAMPUS,26,0,0,0
2001,126678,Colorado College,00134700,1,Colorado College,1952,0,0,0
2001,126775,Colorado School of Mines,00134800,1,Main Campus,3705,0,7,50
2001,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,5606,0,0,0
2001,126863,Community College of Aurora,02276900,1,CentreTech Campus,4858,0,0,0
2001,127158,Emily Griffith Technical College,00559600,1,Main Campus,11843,0,0,0
2001,127778,Otero Junior College,00136200,1,Main Campus,1404,16,24,104
2001,127820,Pikes Peak Community College,00889600,1,Centennial Campus,9772,0,0,0
2001,127820,Pikes Peak Community College,00889600,2,Rampart Range Campus,9772,0,0,0
2001,127820,Pikes Peak Community College,00889600,3,Downtown Studio Campus,9772,0,0,0
2001,127884,Pueblo Community College,02116300,1,Main Campus,4866,0,0,0
2001,127884,Pueblo Community College,02116300,2,Pueblo Community College at Fremont,4866,0,0,0
2001,127884,Pueblo Community College,02116300,3,SCCC Campus-West,4866,0,0,0
2001,127884,Pueblo Community College,02116300,4,SCCC Campus- East,4866,0,0,0
2001,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,7980,0,0,0
2001,179894,Webster University,00252100,10,Colorado Springs Metropolitan Campus,15402,0,0,0
2002,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8340,0,0,0
2003,126775,Colorado School of Mines,00134800,1,Main Campus,4050,0,0,0
2003,127884,Pueblo Community College,02116300,4,SCCC Campus- East,5747,0,0,0
2003,127918,Regis University,00136300,1,Northwest Denver Campus,11583,0,0,0
2003,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8712,0,0,0
